datetime,road_id,avg_speed,vehicle_count,lane_count,road_type,synthetic_flag,temperature,tmin,tmax,rain_mm,wind_kph,pres,tsun,is_holiday,humidity,hour,day_of_week,is_weekend,is_morning_peak,is_evening_peak,is_peak_hour,hour_sin,hour_cos,speed_ma_3,speed_ma_6,vehicle_count_ma_3,vehicle_count_ratio,road_type_speed_ratio
2025-11-01 00:00:00,R1,100.74781257141922,115,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,0,5,1,0,0,0,0.0,1.0,100.74781257141922,100.74781257141922,115.0,28.75,1.0074781257141923
2025-11-01 01:00:00,R1,95.76414836591464,148,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,1,5,1,0,0,0,0.2588190451025207,0.9659258262890684,98.25598046866693,98.25598046866693,131.5,37.0,0.9576414836591464
2025-11-01 02:00:00,R1,100.6046393159908,104,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,2,5,1,0,0,0,0.4999999999999999,0.8660254037844387,99.03886675110822,99.03886675110822,122.33333333333333,26.0,1.006046393159908
2025-11-01 03:00:00,R1,99.05044665016035,149,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,3,5,1,0,0,0,0.7071067811865476,0.7071067811865476,98.4730781106886,99.04176172587125,133.66666666666666,37.25,0.9905044665016035
2025-11-01 04:00:00,R1,103.27653498802415,130,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,4,5,1,0,0,0,0.8660254037844386,0.5000000000000001,100.9772069847251,99.88871637830184,127.66666666666667,32.5,1.0327653498802416
2025-11-01 05:00:00,R1,97.46417108048485,117,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,5,5,1,0,0,0,0.9659258262890684,0.2588190451025207,99.93038423955646,99.48462549533234,132.0,29.25,0.9746417108048484
2025-11-01 06:00:00,R1,94.02508884497205,102,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,6,5,1,0,0,0,1.0,6.123233995736766e-17,98.25526497116034,98.36417154092447,116.33333333333333,25.5,0.9402508884497205
2025-11-01 07:00:00,R1,52.21145279305122,104,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,7,5,1,1,0,1,0.9659258262890684,-0.2588190451025206,81.23357090616936,91.10538894544725,107.66666666666667,26.0,0.5221145279305123
2025-11-01 08:00:00,R1,57.93394461091459,106,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,8,5,1,1,0,1,0.8660254037844387,-0.4999999999999998,68.05682874964596,83.9936064946012,104.0,26.5,0.5793394461091459
2025-11-01 09:00:00,R1,62.54711340431889,90,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,9,5,1,1,0,1,0.7071067811865476,-0.7071067811865475,57.56417026942824,77.90971762029429,100.0,22.5,0.6254711340431889
