datetime,road_id,avg_speed,vehicle_count,lane_count,road_type,synthetic_flag,temperature,tmin,tmax,rain_mm,wind_kph,pres,tsun,is_holiday,humidity,hour,day_of_week,is_weekend,is_morning_peak,is_evening_peak,is_peak_hour,hour_sin,hour_cos
2025-11-01 00:00:00,R1,100.74781257141922,115,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,0,5,1,0,0,0,0.0,1.0
2025-11-01 01:00:00,R1,95.76414836591464,148,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,1,5,1,0,0,0,0.25881904510252074,0.9659258262890683
2025-11-01 02:00:00,R1,100.6046393159908,104,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,2,5,1,0,0,0,0.49999999999999994,0.8660254037844387
2025-11-01 03:00:00,R1,99.05044665016035,149,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,3,5,1,0,0,0,0.7071067811865476,0.7071067811865476
2025-11-01 04:00:00,R1,103.27653498802415,130,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,4,5,1,0,0,0,0.8660254037844386,0.5000000000000001
2025-11-01 05:00:00,R1,97.46417108048485,117,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,5,5,1,0,0,0,0.9659258262890683,0.25881904510252074
2025-11-01 06:00:00,R1,94.02508884497205,102,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,6,5,1,0,0,0,1.0,6.123233995736766e-17
2025-11-01 07:00:00,R1,52.21145279305122,104,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,7,5,1,1,0,1,0.9659258262890683,-0.25881904510252063
2025-11-01 08:00:00,R1,57.93394461091459,106,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,8,5,1,1,0,1,0.8660254037844387,-0.4999999999999998
2025-11-01 09:00:00,R1,62.54711340431889,90,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,9,5,1,1,0,1,0.7071067811865476,-0.7071067811865475
2025-11-01 10:00:00,R1,56.56755343176644,85,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,10,5,1,1,0,1,0.49999999999999994,-0.8660254037844387
2025-11-01 11:00:00,R1,98.92633620410952,126,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,11,5,1,0,0,0,0.258819045102521,-0.9659258262890682
2025-11-01 12:00:00,R1,95.0574387504424,138,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,12,5,1,0,0,0,1.2246467991473532e-16,-1.0
2025-11-01 13:00:00,R1,101.4777422722852,104,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,13,5,1,0,0,0,-0.2588190451025208,-0.9659258262890683
2025-11-01 14:00:00,R1,91.67327654085608,136,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,14,5,1,0,0,0,-0.4999999999999997,-0.8660254037844388
2025-11-01 15:00:00,R1,101.45617598093058,126,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,15,5,1,0,0,0,-0.7071067811865471,-0.7071067811865479
2025-11-01 16:00:00,R1,98.87108102856278,130,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,16,5,1,0,0,0,-0.8660254037844384,-0.5000000000000004
2025-11-01 17:00:00,R1,61.16540152610353,77,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,17,5,1,0,1,1,-0.9659258262890683,-0.25881904510252063
2025-11-01 18:00:00,R1,65.21187333102435,102,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,18,5,1,0,1,1,-1.0,-1.8369701987210297e-16
2025-11-01 19:00:00,R1,56.08386703339988,64,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,19,5,1,0,1,1,-0.9659258262890684,0.2588190451025203
2025-11-01 20:00:00,R1,58.48486017305629,105,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,20,5,1,0,1,1,-0.8660254037844386,0.5000000000000001
2025-11-01 21:00:00,R1,99.54407067084524,120,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,21,5,1,0,0,0,-0.7071067811865477,0.7071067811865474
2025-11-01 22:00:00,R1,104.1982912730388,120,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,22,5,1,0,0,0,-0.5000000000000004,0.8660254037844384
2025-11-01 23:00:00,R1,105.11784317798964,128,4,Highway,True,30.5,26.0,34.0,0.0,14.0,1013.0,0,0,59,23,5,1,0,0,0,-0.25881904510252157,0.9659258262890681
2025-11-02 00:00:00,R1,97.03280602106094,145,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,0,6,1,0,0,0,0.0,1.0
2025-11-02 01:00:00,R1,82.95002354274284,111,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,1,6,1,0,0,0,0.25881904510252074,0.9659258262890683
2025-11-02 02:00:00,R1,94.05364083200296,139,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,2,6,1,0,0,0,0.49999999999999994,0.8660254037844387
2025-11-02 03:00:00,R1,96.957412282595,135,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,3,6,1,0,0,0,0.7071067811865476,0.7071067811865476
2025-11-02 04:00:00,R1,101.292071069953,147,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,4,6,1,0,0,0,0.8660254037844386,0.5000000000000001
2025-11-02 05:00:00,R1,91.62980447657364,106,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,5,6,1,0,0,0,0.9659258262890683,0.25881904510252074
2025-11-02 06:00:00,R1,101.2361437650858,119,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,6,6,1,0,0,0,1.0,6.123233995736766e-17
2025-11-02 07:00:00,R1,53.75917215180539,93,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,7,6,1,1,0,1,0.9659258262890683,-0.25881904510252063
2025-11-02 08:00:00,R1,64.04451078516689,81,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,8,6,1,1,0,1,0.8660254037844387,-0.4999999999999998
2025-11-02 09:00:00,R1,59.47696147305603,89,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,9,6,1,1,0,1,0.7071067811865476,-0.7071067811865475
2025-11-02 10:00:00,R1,59.36157892745768,91,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,10,6,1,1,0,1,0.49999999999999994,-0.8660254037844387
2025-11-02 11:00:00,R1,100.92732588901768,102,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,11,6,1,0,0,0,0.258819045102521,-0.9659258262890682
2025-11-02 12:00:00,R1,95.47512678266726,114,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,12,6,1,0,0,0,1.2246467991473532e-16,-1.0
2025-11-02 13:00:00,R1,99.91033628112628,113,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,13,6,1,0,0,0,-0.2588190451025208,-0.9659258262890683
2025-11-02 14:00:00,R1,98.34875159966266,102,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,14,6,1,0,0,0,-0.4999999999999997,-0.8660254037844388
2025-11-02 15:00:00,R1,101.21331479623726,123,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,15,6,1,0,0,0,-0.7071067811865471,-0.7071067811865479
2025-11-02 16:00:00,R1,97.66078345637828,107,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,16,6,1,0,0,0,-0.8660254037844384,-0.5000000000000004
2025-11-02 17:00:00,R1,56.52701427234503,60,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,17,6,1,0,1,1,-0.9659258262890683,-0.25881904510252063
2025-11-02 18:00:00,R1,60.52556305257379,83,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,18,6,1,0,1,1,-1.0,-1.8369701987210297e-16
2025-11-02 19:00:00,R1,55.46544060967671,71,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,19,6,1,0,1,1,-0.9659258262890684,0.2588190451025203
2025-11-02 20:00:00,R1,65.13685715483507,109,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,20,6,1,0,1,1,-0.8660254037844386,0.5000000000000001
2025-11-02 21:00:00,R1,108.13055873059632,146,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,21,6,1,0,0,0,-0.7071067811865477,0.7071067811865474
2025-11-02 22:00:00,R1,102.05572001902642,141,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,22,6,1,0,0,0,-0.5000000000000004,0.8660254037844384
2025-11-02 23:00:00,R1,100.44839012098504,123,4,Highway,True,29.8,26.0,33.0,0.0,11.4,1013.6,0,0,59,23,6,1,0,0,0,-0.25881904510252157,0.9659258262890681
2025-11-03 00:00:00,R1,99.74174791327,127,4,Highway,True,29.1,25.0,32.0,0.0,13.3,1012.9,0,0,59,0,0,0,0,0,0,0.0,1.0
2025-11-03 01:00:00,R1,97.0034126206088,110,4,Highway,True,29.1,25.0,32.0,0.0,13.3,1012.9,0,0,59,1,0,0,0,0,0,0.25881904510252074,0.9659258262890683
2025-11-03 02:00:00,R1,93.22828628433572,101,4,Highway,True,29.1,25.0,32.0,0.0,13.3,1012.9,0,0,59,2,0,0,0,0,0,0.49999999999999994,0.8660254037844387
2025-11-03 03:00:00,R1,103.0277936353986,127,4,Highway,True,29.1,25.0,32.0,0.0,13.3,1012.9,0,0,59,3,0,0,0,0,0,0.7071067811865476,0.7071067811865476
2025-11-03 04:00:00,R1,100.97021502520798,126,4,Highway,True,29.1,25.0,32.0,0.0,13.3,1012.9,0,0,59,4,0,0,0,0,0,0.8660254037844386,0.5000000000000001
2025-11-03 05:00:00,R1,101.78659719364158,118,4,Highway,True,29.1,25.0,32.0,0.0,13.3,1012.9,0,0,59,5,0,0,0,0,0,0.9659258262890683,0.25881904510252074
